feature,importance_mean,importance_std
Curricular_units_1st_sem_approved,0.3366706937010775,0.01865114078368437
Tuition_fees_up_to_date,0.06625764117027709,0.007550808640763505
Curricular_units_1st_sem_enrolled,0.04564365130741482,0.006622766043341916
Curricular_units_1st_sem_credited,0.025303505319125934,0.008297180631179507
Course,0.02469046710907778,0.006252952931133918
Curricular_units_1st_sem_evaluations,0.012622182821468977,0.004570024946690377
Scholarship_holder,0.009290048776239198,0.004042028659250217
Debtor,0.008478369828849946,0.004827061372616303
Daytime_evening_attendance,0.008403033178747429,0.0026462978195779434
Application_mode,0.007281676886184048,0.0058200074526423935
Displaced,0.0017324905908718917,0.0030766895639050174
Admission_grade,0.0008651745544124845,0.0022415237561735635
Previous_qualification,0.0007200458683234342,0.0008879326702256203
Curricular_units_1st_sem_grade,0.0005416162729855734,0.00476886527723536
Application_order,0.0,0.0
Curricular_units_1st_sem_without_evaluations,-0.0005852660280013522,0.00203834862685994
Previous_qualification_grade,-0.0022667385734978875,0.0019350803673083223
