factor,group,student_count,actual_dropout_count,recall,false_positive_rate,precision,small_group_flag
GenderLabel,Female,570,139,0.8776978417266187,0.33178654292343385,0.46037735849056605,False
GenderLabel,Male,315,145,0.9310344827586207,0.4588235294117647,0.6338028169014085,False
AgeGroup,17-20,490,107,0.822429906542056,0.2741514360313316,0.45595854922279794,False
AgeGroup,21-24,161,48,0.9375,0.49557522123893805,0.44554455445544555,False
AgeGroup,25-34,151,84,0.9523809523809523,0.582089552238806,0.6722689075630253,False
AgeGroup,35+,83,45,0.9777777777777777,0.5526315789473685,0.676923076923077,False
InternationalLabel,No,861,275,0.9054545454545454,0.36689419795221845,0.5366379310344828,False
InternationalLabel,Yes,24,9,0.8888888888888888,0.4,0.5714285714285714,True
